"relative_sales","product_category","market_research","advertising","customer_satisfaction","influencer","competitors","shipping_time"
8.3,"household_appliances",15.6,22.6,4.2,"no",4,1
15.5,"personal_care",10.9,23.7,4.2,"yes",4,1
5.3,"small_electronics",13.3,16.2,3.9,"no",4,3
17.1,"personal_care",17.9,26.3,3.6,"yes",4,2
-3.2,"tools",18.7,17.7,4.9,"no",4,2
11.4,"tools",13.7,22.5,4.2,"no",5,2
4.5,"household_appliances",19.4,12.1,4,"yes",5,3
10.3,"tools",11.8,25.4,4.1,"no",5,1
9.2,"tools",17.5,24.2,3,"no",4,3
5,"tools",8,20.3,4.2,"no",3,2
-21.7,"tools",24.6,13.8,3.2,"no",4,3
12.8,"tools",12.3,24.2,4.9,"no",5,2
6.2,"household_appliances",13.1,14.1,4.4,"no",7,2
6.2,"tools",10,19.2,4.5,"no",6,1
-27.6,"tools",28.1,22.1,4.2,"no",3,4
0.1,"household_appliances",NA,20.3,4.6,"no",7,2
10.8,"household_appliances",14,21.5,4.3,"no",5,2
6,"household_appliances",12.1,16.3,4.2,"no",6,4
2.1,"household_appliances",NA,11.2,3.9,"no",4,3
-0.6,"personal_care",18.6,15.6,4.4,"no",7,4
13.4,"personal_care",16.3,22.6,4.5,"yes",6,2
10.6,"tools",17.3,24.6,4.2,"no",3,3
9.4,"tools",15.2,24.1,3.8,"no",5,2
15.7,"household_appliances",18,27.2,4.3,"yes",5,2
8,"tools",17,25.1,4.4,"no",5,2
0.1,"household_appliances",12.4,5.4,3.7,"no",4,3
-4.2,"tools",17.7,11,3.8,"no",5,3
1.1,"tools",6.7,21.1,4.7,"no",6,2
-4.8,"small_electronics",17.8,14.9,2.2,"no",6,3
4.2,"tools",10.1,15.7,4.2,"no",6,1
5.3,"tools",13.9,15.6,3.9,"no",4,3
4,"small_electronics",19,25.6,4.2,"no",4,1
4.4,"household_appliances",13.3,NA,4.4,NA,4,1
9.7,"small_electronics",20.5,25.8,4,"yes",6,3
6,"tools",16.3,26.7,4.5,"no",4,1
17.2,"household_appliances",14.8,24.7,3.3,"yes",3,1
9.1,"household_appliances",19.8,NA,4.4,"no",5,1
16.1,"household_appliances",10.8,17.5,4.4,"yes",4,1
11.1,"household_appliances",10.3,NA,3,"yes",8,2
7.7,"tools",8.5,25.5,4.7,"no",5,3
-0.9,"household_appliances",17.8,19.8,3.8,"no",4,4
7.6,"tools",15.8,27.1,4.3,"no",4,4
14.3,"household_appliances",15.7,29.6,4.8,"no",5,1
12.9,"household_appliances",15.2,30.1,3.4,"yes",7,2
5.4,"household_appliances",12.7,23.6,4.2,"no",5,3
4.4,"tools",18.3,17.6,3.9,"no",4,2
14.6,"tools",14.4,22.1,4.5,"yes",4,2
10.7,"household_appliances",14.5,22.2,4.6,"no",6,2
3.8,"personal_care",9.4,18.6,4,"no",5,1
11.6,"tools",12.4,21.2,4.3,"yes",8,1
11.9,"tools",13.7,24.8,4.1,"no",6,2
6.4,"tools",14.8,15.6,4.6,"no",5,1
12.3,"tools",14.4,19.3,4.7,"yes",5,1
7.5,"tools",21.4,25.4,4.7,"yes",4,1
16,"tools",17.3,21.4,4.2,"yes",5,3
6.1,"tools",12.6,22.1,3.4,"no",5,3
14.1,"household_appliances",12.6,21.6,4.3,"yes",4,3
3.7,"small_electronics",17.1,18.2,4.7,"no",5,3
4.3,"tools",14.9,15.5,4.4,"no",6,2
2.3,"tools",5.7,19,4.5,"no",6,2
6.2,"household_appliances",15.2,19.3,3.7,"no",4,3
-5.4,"tools",5.8,21.4,4.5,"no",4,1
8.2,"household_appliances",12.8,14.3,4.7,"no",8,2
12.1,"small_electronics",10.1,29.6,3.9,"no",6,2
4.9,"personal_care",11.9,23.4,3.7,"no",5,3
11.7,"small_electronics",16.3,NA,3.2,"yes",3,2
8.4,"tools",17.6,21.9,4.6,"no",4,2
15.8,"household_appliances",11.2,19.8,4.8,"yes",5,2
-4,"small_electronics",10.2,14.4,4.1,"no",4,3
-2.3,"tools",8.2,17.9,4.1,"no",5,2
-4.5,"personal_care",17.9,12.3,3.2,"no",5,1
0.2,"household_appliances",11.6,19.1,3.2,"no",3,3
5.5,"tools",17.4,21.8,3.7,"no",5,3
8.9,"small_electronics",14.7,16.2,4.9,"no",7,1
5.3,"tools",16.5,17.7,4.1,"no",7,3
5,"household_appliances",10.8,17.4,4.1,"no",6,3
0.6,"tools",22.9,24.1,4.2,"yes",5,3
-2.2,"household_appliances",19.9,28.6,4.2,"no",5,2
16,"tools",9.4,17.6,4.8,"yes",4,3
6.1,"household_appliances",18.5,23.3,3.5,"no",4,2
14.9,"tools",13.4,25.1,4.3,"no",5,3
15.2,"household_appliances",12.8,21.2,4.5,"no",6,2
7.4,"personal_care",14.1,22.1,4.8,"no",6,2
12.9,"small_electronics",15.5,16.6,4.7,"yes",4,3
9.6,"household_appliances",19.8,16,4.8,"yes",5,2
7.8,"personal_care",13.6,16.4,4.7,"no",4,2
10.2,"personal_care",14.7,19,4.7,"no",5,3
9.4,"household_appliances",12.1,15.9,4.4,"no",4,2
13.9,"household_appliances",NA,23.1,4.7,"no",7,1
3.8,"household_appliances",15.5,20.3,4,"no",5,2
7.3,"tools",20.7,21.7,4.2,"yes",5,3
6.4,"tools",14.5,21.3,4.1,"no",6,1
19.2,"tools",14.1,29,4.3,"yes",2,1
5.4,"tools",13.1,13.5,4.1,"no",7,2
13.6,"personal_care",17.5,29.3,4.4,"no",4,2
8.8,"household_appliances",17.5,24.9,4.5,"no",3,2
17.9,"household_appliances",NA,24.4,4.7,"yes",9,1
-0.7,"household_appliances",18.6,25.3,3.7,"no",3,3
3.3,"tools",NA,15.5,4,"no",5,4
14.4,"tools",9.9,23.8,4.7,"no",4,2
4.6,"household_appliances",10.7,22.2,3.9,"no",5,1
4,"tools",NA,23,3.2,"no",6,3
2.2,"household_appliances",15.7,20.7,4.2,"no",5,2
1.4,"tools",13.2,18.7,3.8,"no",4,1
0.7,"tools",8.5,26.7,4.2,NA,4,4
12.7,"household_appliances",11.3,19.6,4.7,"no",4,1
3.7,"household_appliances",13.8,8.1,4.3,"no",6,4
9.1,"tools",12.2,23,4.2,"no",7,2
7.3,"personal_care",15.4,23,4.4,"no",4,3
1.1,"personal_care",19.5,21.1,3.6,"no",5,3
15.5,"personal_care",14.1,6.3,4.5,"yes",7,2
2.3,"personal_care",16,13.7,4.6,"no",5,3
5.7,"small_electronics",16.3,15.6,4.2,"no",3,2
20.5,"household_appliances",11.9,26.1,4.7,"yes",5,3
5.3,"tools",11.1,12.2,4.7,"no",5,4
-5.7,"personal_care",19.3,13.4,4,"no",7,3
-25.5,"small_electronics",25,9.9,3.7,"no",5,2
10.3,"tools",14,22.1,4.3,"no",5,1
0.3,"small_electronics",18,11.9,4.3,"no",5,3
6.6,"tools",17.9,19.5,4.7,"no",5,4
6.4,"household_appliances",18.1,15.3,3.4,"yes",6,3
3.6,"household_appliances",20.1,21.1,4.6,NA,8,1
0,"tools",19.9,20.2,4.8,"no",5,3
-1.6,"household_appliances",21.5,17.5,4.6,NA,5,1
0,"tools",16.8,22.6,4.6,"no",5,1
2.2,"personal_care",13.1,17,3.5,"no",-999,4
17,"household_appliances",14.4,18.1,4.1,"yes",4,2
1.9,"personal_care",10.7,13.9,4.3,NA,7,3
15.2,"household_appliances",15.8,19,4.3,"yes",6,2
11.1,"personal_care",17.9,19.3,4.5,"yes",7,1
10.4,"small_electronics",13.6,20.1,4.7,"no",6,2
12.2,"household_appliances",13.7,NA,3.6,"no",4,2
8.6,"household_appliances",10.4,20.9,4.6,"no",6,1
21,"household_appliances",10.7,29.5,4.7,"yes",5,2
-15.4,"tools",23.5,16.7,4.7,"no",3,2
-14.9,"small_electronics",23.6,19,3.4,"no",4,3
-6.9,"tools",21.8,16.9,4.6,"no",6,3
9.9,"tools",9.7,26,4.7,"no",6,1
13.3,"tools",13.5,22.8,4.4,"no",4,2
14.4,"tools",12.4,18.5,4.2,"yes",7,2
1.8,"household_appliances",16.3,22.3,4.3,"no",6,3
11.7,"household_appliances",13.3,21.4,4.2,"no",2,3
16.7,"personal_care",8.8,22.1,4.7,"yes",3,2
9.2,"tools",12.8,23.1,3.6,"no",2,2
1.4,"personal_care",8.6,17.3,4.7,"no",5,1
-1.3,"tools",16.6,14.1,4.6,"no",5,1
2.1,"tools",13.3,12,4.2,"no",4,2
6,"tools",14.1,16.2,4.2,"no",6,3
10.5,"personal_care",14.4,20,4.2,"no",2,3
10.3,"household_appliances",14.8,22.4,4.5,"no",4,4
15.5,"tools",14,24.2,3.1,"yes",7,3
8.6,"household_appliances",17.5,16,3.8,"yes",7,2
10.6,"tools",14.3,24.5,3.9,"no",3,2
4.1,"household_appliances",8.9,18.1,4.4,"no",4,2
5.3,"tools",18.3,22.2,4.1,"no",3,1
3.3,"household_appliances",16.6,24.5,2.9,"no",6,2
4.3,"tools",16.6,19.8,4.1,"no",8,2
-2,"tools",NA,17.1,4.3,"no",6,3
-2.7,"small_electronics",21.1,16.8,4.2,"no",4,3
3.6,"household_appliances",12.6,15.4,3,"no",5,3
7.4,"tools",18.7,27.6,4,"no",8,2
4,"tools",19.8,19.1,4.2,"no",4,2
3.7,"tools",18.4,19.2,4.9,"no",6,3
4.8,"household_appliances",17.8,18.4,4.7,"no",7,1
5.9,"personal_care",11.3,17.6,4,"no",4,2
8.6,"tools",16.9,26,4.5,"no",7,3
5.9,"tools",15.1,17.6,3.1,"no",3,3
4.4,"tools",10.4,18.1,4,"no",3,3
12.3,"household_appliances",13.7,16.6,4.6,"no",4,3
7.7,"tools",12.4,NA,3.4,"no",2,1
17.7,"household_appliances",13.7,16.6,4.7,"yes",6,3
11.1,"household_appliances",10.6,9.6,4.4,"no",6,3
9.4,"household_appliances",13,14.1,4.9,"no",6,3
-3.3,"household_appliances",21.1,19.8,3.3,NA,6,3
1.6,"tools",7.7,23.1,4.1,"no",4,2
8.1,"small_electronics",NA,22.1,4.5,"no",4,4
5.3,"personal_care",NA,16.5,4.5,"no",3,3
2.4,"tools",18.8,23,4.6,"no",2,3
9.6,"household_appliances",11.2,11.2,4.4,"yes",4,3
6.3,"household_appliances",16.8,20,3.4,NA,6,1
12.1,"household_appliances",NA,21.4,4.3,"no",5,3
8.9,"household_appliances",18.8,19.4,4.1,"no",4,2
7,"small_electronics",17.5,24.8,4.6,"no",5,3
2.2,"household_appliances",17.4,20.5,4.8,"no",7,3
16.9,"personal_care",14.6,24.1,4.8,NA,6,2
4.2,"household_appliances",16.9,20.7,3.9,"no",5,1
8.9,"tools",14.1,NA,4.5,"no",5,3
6.7,"tools",15.2,22.7,4.2,"no",8,3
6.8,"household_appliances",13,24.1,4.2,"no",4,2
10.5,"tools",NA,21.4,4,"no",3,1
1.3,"small_electronics",13.1,NA,4.1,"no",7,2
10.6,"tools",10.7,19.7,4.7,"no",7,3
12.7,"household_appliances",14.7,17.3,3.1,"yes",8,1
15.5,"tools",13.6,26.8,4.3,"no",5,1
1.7,"tools",18.3,18.8,4.1,"no",6,1
4.9,"personal_care",16.4,26.4,3.1,"no",4,3
5.9,"household_appliances",4.5,18.1,4.9,"yes",3,3
-4.1,"tools",18.8,12,4.4,"no",3,1
13.8,"household_appliances",12.3,17.9,4.4,"no",7,2
6.5,"personal_care",9.5,24.3,3.3,"no",5,3
10.9,"personal_care",15.5,17.9,3.5,"yes",5,1
10.8,"tools",14.3,23.3,4.2,"no",6,2
-2.3,"tools",14.3,17.4,3.6,"no",7,3
5.4,"small_electronics",18.8,15.8,4.5,"no",2,2
-1.3,"household_appliances",20.5,21.8,4.2,"no",4,3
15.7,"personal_care",14.1,21.8,3.8,"yes",8,2
-0.5,"tools",6.7,18.8,4.8,"no",5,2
-0.6,"tools",16,15,3.9,NA,5,3
4.1,"tools",16.5,14.6,4.2,"no",5,3
7.7,"household_appliances",13.7,15,4.6,"no",4,2
10.8,"household_appliances",14.5,28.1,4.3,"no",2,2
6.5,"tools",15.7,21.6,3.6,"no",6,2
-5.9,"household_appliances",22.7,16,3.5,"no",6,1
10.6,"tools",12.5,22.2,4.5,"no",6,3
1.2,"household_appliances",NA,23.5,3.5,"no",4,2
6.3,"small_electronics",12.8,16,4.7,"no",3,4
5.7,"tools",NA,16.9,3.8,"no",7,2
13.3,"household_appliances",14.9,26.6,4.2,"no",4,2
9.9,"household_appliances",14.2,17.5,4.6,"no",7,3
11.4,"tools",13.8,27,3.6,"no",6,1
2.3,"tools",19.4,18.8,4.7,"no",5,2
-26.5,"household_appliances",28.2,20.2,4.3,"yes",5,1
12.7,"tools",15,NA,4.1,"no",-999,3
5.7,"small_electronics",19.6,17.4,4.8,"no",7,3
15,"household_appliances",16.1,20.6,4.3,"yes",5,2
13.3,"household_appliances",18.2,23.6,4.2,"yes",6,2
4.7,"personal_care",10.6,14.8,4.5,"no",1,2
8.9,"household_appliances",18,18.4,4.4,"no",4,2
14.2,"tools",8.5,18.8,4.4,"yes",7,3
12,"tools",13.7,29.8,3.9,"no",-999,3
7.8,"household_appliances",11.7,16.1,3.9,"no",6,1
-1.9,"household_appliances",14.4,7.5,4.5,"no",8,3
-9.6,"household_appliances",24.9,21.5,3.5,NA,6,1
14.7,"household_appliances",12.8,18.3,3.9,"yes",2,4
-2.1,"household_appliances",18,9.5,3.9,"no",5,2
9.1,"tools",17,24.4,4.7,"no",4,4
-0.9,"tools",18.8,12.9,4.8,"no",5,1
-3.5,"household_appliances",20.7,18.7,4,"no",4,1
8.3,"household_appliances",15.6,21.8,4.3,"no",4,2
13,"household_appliances",15.8,12.1,4.6,NA,6,4
16.3,"personal_care",NA,16.6,3.9,"yes",4,3
8.1,"small_electronics",11.1,21.8,4.4,"no",5,2
13.3,"personal_care",11.1,22,4.3,"no",5,3
5,"personal_care",10,16.8,2.8,"no",4,2
3.6,"tools",12.7,15.9,4.7,"no",6,2
0.4,"household_appliances",17.9,12.6,4.2,"no",6,2
5.1,"tools",NA,19,4.8,"no",4,1
17.7,"tools",13,20.5,4.2,"yes",-999,2
7.3,"tools",17.4,26.9,4.5,"no",7,2
7.7,"tools",NA,24.9,4.6,"no",6,2
18,"tools",15.4,30.9,4.9,"no",5,3
-1.6,"household_appliances",7.1,19.5,4,"no",7,2
7.3,"tools",14.4,23.4,3.5,"no",2,1
5.5,"personal_care",NA,17.5,4.3,"no",5,3
7.8,"tools",10.6,20.6,3.5,"no",3,1
11.6,"household_appliances",NA,12.6,4.5,"yes",6,1
10.4,"household_appliances",12.6,20.3,4.5,"no",2,3
9,"personal_care",NA,27.6,3.9,"no",10,1
4,"tools",17,19.9,4.6,"no",4,3
9.3,"household_appliances",17.8,24.8,4.4,"no",5,4
-1.9,"small_electronics",21.3,16.8,4.5,"no",6,4
7.3,"personal_care",13,16.9,3.6,"no",4,1
9.4,"household_appliances",14,22.3,4.6,"no",6,2
16.4,"small_electronics",10.8,18.8,3.9,"yes",-999,2
5.7,"tools",13,20.1,3.4,"no",5,1
8.5,"tools",20.6,19.2,4.8,"yes",7,3
3.6,"personal_care",16.1,13.3,4.2,"no",4,2
15.5,"tools",15.1,23,3.6,"yes",4,2
15.3,"household_appliances",12.7,19.8,3.8,NA,6,1
12.8,"small_electronics",10.6,25.5,4.6,"no",6,3
3.3,"personal_care",19.8,13.5,5,"no",5,1
5.2,"household_appliances",12.4,20.3,4,"no",9,3
5.7,"tools",14.1,15.9,4.6,"no",4,4
0.8,"tools",15.1,17.1,4.7,"no",2,2
-1,"tools",5.5,19.1,3.6,"yes",5,2
3.4,"tools",NA,21,3.1,"no",4,3
3.2,"small_electronics",17,16,4,"no",4,2
11.4,"tools",15.3,20.9,4.2,"yes",6,2
15.3,"tools",9.2,27,4.4,"yes",5,3
3.1,"tools",NA,21.2,3.7,"no",6,2
6.6,"household_appliances",17,17.7,4.8,"no",6,2
-1.4,"household_appliances",20.1,22.8,4.3,"no",6,2
2.2,"small_electronics",20.6,21,4.6,"no",6,2
11.6,"household_appliances",12.6,24.4,2.8,"no",5,2
3.7,"tools",13.8,20.5,4.1,"no",5,4
2.8,"tools",12.2,13.7,4.8,"no",6,2
1.7,"household_appliances",21.9,21.8,4.9,"yes",7,3
0.7,"personal_care",18.4,19.7,3.5,"no",7,4
5.8,"household_appliances",11.1,13.9,3.7,"no",3,2
-3.3,"household_appliances",16.5,13.5,4.5,"no",-999,2
-0.3,"personal_care",13.6,13.8,3.1,"no",9,2
1,"personal_care",7.2,23.6,3.9,"no",8,2
-0.7,"personal_care",16.5,9.7,3.5,"no",5,3
10.6,"personal_care",14.2,21.5,3.8,"no",5,3
9.8,"tools",13.4,24.6,4.5,"no",8,3
3.4,"tools",16.5,24.6,4.4,"no",6,2
12.6,"household_appliances",14.2,22.6,3.9,"yes",1,3
1.1,"personal_care",20.7,18.3,4.5,"no",4,4
0.2,"tools",NA,15.2,3.9,"no",3,1
20.5,"household_appliances",15.2,29.7,4.4,"yes",7,2
6,"household_appliances",17.5,15,4.6,"no",5,1
4.4,"household_appliances",8.6,18.6,4.7,"no",4,2
0.6,"tools",12.4,12.4,4.2,"no",4,2
0.2,"tools",19.2,20,4.1,"no",6,2
24.8,"personal_care",11.9,31.4,3.5,"yes",3,4
-9.1,"tools",16.1,4.1,4.1,"no",6,1
10.3,"household_appliances",17.5,21.5,4.5,"no",5,4
0,"household_appliances",21.7,24.2,4,"no",6,4
7.1,"tools",15.2,21.2,4.4,"no",5,2
4.2,"personal_care",NA,14.2,4.4,"no",3,2
11,"household_appliances",12.2,31.5,3.5,"no",6,4
12.5,"household_appliances",9.3,23.6,4.9,"no",5,3
-4.9,"tools",22,12,4.5,NA,5,3
5.3,"tools",15.8,18.5,4,"no",5,1
6.3,"tools",NA,21.6,3.1,"no",5,1
-0.9,"personal_care",20.9,22.7,4.5,"no",6,3
6.2,"household_appliances",17.4,17.7,4,"no",6,2
11.2,"tools",15.6,25.6,4.6,"no",5,2
-0.6,"tools",18.5,22.6,3.9,"no",5,2
13.2,"household_appliances",12.7,19.3,4.4,"no",4,2
5,"small_electronics",7.1,12.9,4.3,"yes",4,4
7.6,"small_electronics",16,17.3,4.5,"no",4,2
-1.1,"personal_care",NA,12.3,3.7,NA,6,3
1.5,"tools",20.2,23.4,4.8,"no",4,2
-2,"tools",16.5,18.2,4.1,"no",8,2
-5,"tools",17.1,8.2,3.6,"no",5,4
13.5,"household_appliances",15.7,24.6,4.4,"yes",5,2
10.8,"small_electronics",14.4,26.3,4.6,"no",5,3
-1.2,"household_appliances",20.6,18,4.5,"no",5,2
13.1,"household_appliances",13.3,15.1,4,"yes",7,1
15.3,"household_appliances",17.8,26.1,4.6,"yes",4,2
-1.7,"tools",22.7,19.2,4.2,"yes",4,2
-11.2,"small_electronics",20.8,16,3.1,"no",6,2
12,"tools",13,21.7,4,"yes",2,2
6,"tools",11.7,22,4.1,"no",6,2
2.5,"small_electronics",18.2,20.8,3.6,"no",6,1
10.1,"tools",10.7,22.3,4.1,"no",5,1
7.4,"tools",10,21.5,4.2,"no",4,1
6.4,"tools",14.5,18.4,4.2,"no",9,2
2.1,"household_appliances",15.8,25.9,3.8,"no",6,1
-0.6,"tools",18.9,19.2,3.7,"no",7,2
1.1,"personal_care",19,15.9,4.4,"no",7,1
-8.5,"tools",14.3,6.5,4.2,"no",5,1
15.1,"household_appliances",17,11.8,4.7,"yes",7,1
9.1,"tools",16.7,22.9,4.2,"no",4,2
6,"tools",12.5,18.9,3.8,"no",7,2
11.9,"household_appliances",13.3,14.7,3.3,"yes",6,2
18.4,"personal_care",12.7,22.9,4.5,"yes",5,3
8.6,"tools",16.1,15.9,4.1,"no",5,2
3.4,"small_electronics",12.5,19.3,3.2,"no",2,2
10.3,"household_appliances",14.5,NA,3.5,"yes",5,2
19.4,"household_appliances",12.5,23,4.6,"yes",5,2
-0.2,"household_appliances",22.8,15.1,4.5,"yes",5,2
4.2,"tools",15.9,12.1,3.3,"no",4,2
-6.7,"household_appliances",6.2,10.9,4.8,"no",5,2
-0.7,"household_appliances",11.5,15,2.8,"no",6,1
11.1,"household_appliances",11.7,24.5,4.7,"no",7,3
2,"tools",17.8,16.8,4,"no",2,3
8.9,"personal_care",11.1,22.9,4.4,"no",6,2
6.3,"household_appliances",NA,20.6,4.4,"no",7,3
15.6,"tools",NA,17.3,4.6,"yes",4,1
3.7,"tools",12,10.4,4.1,"no",7,2
7.7,"household_appliances",16.1,16,3.8,"no",4,2
3.8,"personal_care",17.4,25.1,3.9,NA,5,3
12.2,"small_electronics",17.6,20.7,4.5,"yes",4,4
1.4,"household_appliances",17.7,18.2,3.3,NA,4,3
9.1,"household_appliances",15.9,25.8,4.1,"no",6,1
7.2,"tools",18.8,20.7,4.4,"no",3,1
-28.3,"household_appliances",26.7,14.1,3.3,"no",5,1
10.5,"tools",14.3,17.9,4.3,"yes",5,1
4.4,"tools",7.1,22.4,4.2,"no",6,3
12.7,"household_appliances",10.4,22.8,4.7,"no",4,1
10.2,"household_appliances",11.2,21.4,4.1,"no",5,3
16.2,"household_appliances",14.1,23.8,3.5,NA,6,4
12.6,"small_electronics",18.2,NA,4.8,"no",3,2
-0.5,"tools",17.4,14.5,4.7,"no",8,3
-2.1,"small_electronics",19.5,18.6,4.4,"no",5,4
1.4,"tools",15.9,15.6,4.2,NA,3,3
1.3,"tools",11.4,15,4.6,"no",5,1
12.7,"household_appliances",15.5,22.5,4.6,"no",5,2
5.1,"personal_care",13.6,22.4,3.3,"no",1,2
6.1,"household_appliances",19.3,21.7,3.5,"no",5,1
7.3,"tools",8.7,25.5,4.4,NA,8,1
-14.7,"household_appliances",24.4,21.2,3.9,"no",6,2
0.2,"tools",22.4,25.2,4.3,NA,6,4
9.5,"tools",14.1,20.2,4.2,"no",5,2
6.1,"tools",18.9,25,4.6,"no",4,2
5.4,"household_appliances",15.6,14.9,4.4,"no",4,2
4.1,"tools",10.1,18.4,4.8,"no",5,2
9.1,"household_appliances",13.5,18.3,3.8,"no",3,1
13.4,"household_appliances",10,17.4,4.7,"no",5,1
1.4,"small_electronics",20.6,20.6,4.8,"no",4,4
7,"tools",15.2,21.9,4,"no",5,3
15.2,"tools",14,27,3.8,"no",8,3
13,"household_appliances",12.3,24.7,4.1,"no",6,2
3.7,"household_appliances",20.5,25.6,3.6,"no",5,4
14.8,"tools",15.9,16.3,4.4,"yes",4,1
0.9,"tools",8.8,15.5,4.3,"no",5,2
9.1,"personal_care",15.4,20.4,4.4,"no",4,3
10,"tools",16.2,30.8,4.1,"no",5,2
14.3,"tools",19.2,25.6,4.5,"yes",7,2
9.9,"small_electronics",16.3,25.5,4.8,"no",3,2
1,"tools",21.8,24.7,4.5,"no",4,2
-7.1,"tools",21.8,17,3.7,"no",6,1
4.1,"household_appliances",NA,16.5,3.7,"no",6,1
13.2,"tools",12.6,28.3,4,"no",4,2
15.2,"household_appliances",12.4,15.5,4.6,"yes",3,1
-1.9,"tools",12.8,10.9,2.9,"no",6,2
12.1,"tools",19.5,36.2,4.1,"no",6,3
6.9,"tools",15.8,25.3,4.3,"no",4,4
17.7,"household_appliances",11.3,22.4,2.7,"yes",5,2
10.2,"household_appliances",14.3,27.9,4.2,"no",5,3
7.4,"tools",12.1,21.8,4.6,"no",5,1
7,"personal_care",13.6,16.4,4.6,"yes",5,3
11.7,"household_appliances",8.9,25.3,4.6,"yes",10,1
14.2,"household_appliances",13.9,23.7,5,"no",4,1
1.3,"tools",17.4,17.7,4.4,"no",3,4
11.3,"tools",12.9,19.1,4.7,"no",6,3
-0.1,"household_appliances",6.1,22.3,3.5,"no",4,3
2.4,"household_appliances",21.5,25.2,4,"no",5,3
6.5,"tools",11.4,21.8,4.1,"no",7,2
10.9,"household_appliances",15.5,23.2,4.2,"no",8,2
13.4,"small_electronics",13,22.5,3.6,"yes",9,4
2.7,"tools",16.8,19.5,4.6,"no",3,3
6.3,"small_electronics",19,13.9,4.9,"yes",6,3
4.3,"small_electronics",14.1,10.3,3.3,"no",4,2
10.7,"household_appliances",14.1,20,4.7,NA,5,2
8.5,"household_appliances",20.9,24.4,4.9,"no",6,2
5.6,"tools",14.7,17.5,4.3,"no",2,2
14.1,"tools",16.6,26,4.8,"no",5,2
10.4,"household_appliances",13.7,20.7,3.7,"no",2,3
16.6,"tools",17,24.9,4.9,"no",4,4
8.8,"tools",12.8,28,4.2,"no",6,4
7.7,"personal_care",18.6,16.6,4.4,"yes",5,2
8.4,"household_appliances",16.9,NA,4.1,"no",4,4
-0.8,"tools",15.9,13.9,3.1,"no",6,1
17.7,"tools",12.9,24.3,4.4,"yes",-999,3
3.5,"tools",NA,16.3,3.4,NA,2,3
3.1,"tools",12.8,14.5,4.2,"no",7,2
-0.8,"household_appliances",12.3,13.2,3.3,"no",4,1
3.2,"tools",15.4,15.5,4.3,"no",4,2
8.6,"personal_care",18.2,26.2,4.8,NA,7,1
3.9,"household_appliances",11.5,16,4.6,NA,4,1
3.3,"household_appliances",14.7,18.5,4.2,"no",6,3
1,"household_appliances",15.2,15.6,3.9,"no",5,2
2.9,"tools",12.7,16.7,3.9,"no",4,1
6.6,"tools",19.1,14,4.4,"yes",5,1
6.4,"small_electronics",15.2,18.2,4.1,"no",5,4
6.1,"household_appliances",NA,25,3.7,"no",5,3
3.4,"tools",11.1,20.9,3,"no",6,3
10.7,"household_appliances",10.8,20.2,3.5,"yes",8,2
20.3,"small_electronics",15.5,19.7,4.6,"yes",3,3
9.9,"personal_care",12.4,18.7,3.8,"yes",4,3
13.6,"household_appliances",11.4,17.5,3.3,"yes",6,2
8.1,"household_appliances",12.4,20.9,4.1,"no",7,3
13.8,"small_electronics",13.9,13.6,4.9,"yes",5,2
7.4,"tools",13.7,11,3.9,"no",7,1
5,"personal_care",17.5,15.1,4.7,"no",2,2
-1.3,"tools",12.1,10.3,4.4,NA,5,3
6.5,"tools",14.1,21.6,4.8,"no",6,2
12.5,"tools",13.5,19.3,3.4,"yes",5,3
-1.3,"household_appliances",19.7,14.7,3.8,"no",6,2
8.6,"tools",13.9,24.6,4.8,"no",3,2
-0.8,"small_electronics",23.5,26.3,4.5,"no",3,3
4.4,"small_electronics",9.9,17.8,4.4,"no",5,3
-8.2,"tools",22.8,24.1,4.1,"no",5,3
-1.5,"personal_care",19,12.3,3.6,"no",4,1
10,"household_appliances",14.1,27,4.1,"no",-999,2
17.8,"household_appliances",14.7,21,4.6,NA,6,1
15.2,"household_appliances",14.5,23,4.7,"no",4,3
-6.6,"household_appliances",20.2,21.6,4.1,"no",7,1
-3.7,"small_electronics",21.4,18.5,4.5,"no",5,2
20.8,"tools",17.2,23.5,4.4,"yes",4,3
-2.7,"small_electronics",5,20.6,3.9,"yes",8,2
-0.1,"household_appliances",15,17.9,3.5,"no",5,2
4.4,"tools",10.9,19,3.6,"no",5,3
5.8,"household_appliances",8.2,25.8,4.3,"no",5,1
10,"small_electronics",17.4,11.7,4.3,"no",4,2
13.2,"household_appliances",14.1,NA,4.2,"no",5,2
7.1,"household_appliances",17.4,22.3,4.7,"no",7,2
5.6,"personal_care",14.3,8.1,3.9,"yes",8,2
5.3,"tools",11.7,21.6,2.5,"no",5,2
6.6,"household_appliances",19.4,15.8,4,"yes",5,2
-7.2,"tools",20.9,15.1,4.7,"no",5,2
7.4,"tools",18.8,25.2,4.9,"no",6,1
13.7,"household_appliances",17.7,18.5,4.4,"yes",2,2
0.7,"personal_care",10.8,16.7,2.2,"no",7,2
15.1,"household_appliances",13.9,23.5,4.5,"no",6,2
9,"small_electronics",14.6,17.5,4.7,"yes",3,2
-2,"household_appliances",11.9,13.2,4.3,"no",5,3
0.7,"personal_care",13,16.1,3.9,"no",6,4
4.1,"household_appliances",8.7,15.8,3.9,"no",5,2
0.8,"household_appliances",20.9,21.5,4.7,"no",3,1
12.6,"household_appliances",16.7,25.8,3.8,"no",3,2
